NU_INSCRICAO;TP_COR_RACA;TP_ESCOLA;SG_UF_RESIDENCIA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;Q002;Q006
210059866346;1;1;RJ;452.7;370.9;481.0;529.1;540.0;G;F
210061519275;1;1;SP;705.3;616.1;507.6;793.9;940.0;D;C
210061266463;3;1;CE;390.8;430.8;409.1;380.6;400.0;D;D
210061124119;1;2;SP;389.0;518.5;551.2;534.3;880.0;E;B
210060835900;2;1;RJ;423.7;484.5;513.8;379.5;440.0;B;B
210061548692;3;1;MG;570.4;546.4;539.2;588.6;440.0;F;G
210060805307;2;2;BA;454.3;525.6;483.1;513.0;400.0;G;B
210059018908;1;2;SE;585.9;586.1;629.2;705.9;940.0;E;B
210060390960;1;1;RS;596.1;604.7;570.3;712.6;880.0;E;F
210058491333;1;1;BA;510.5;407.4;476.4;511.4;600.0;D;A
210059821338;1;2;AM;498.5;348.8;493.1;546.4;0.0;G;E
210058937928;1;1;CE;524.6;515.5;492.4;599.7;740.0;C;D
210059314793;1;1;PE;429.5;467.0;477.2;439.7;420.0;B;B
210061734175;3;1;RJ;548.8;531.5;521.1;467.2;0.0;H;C
210061091379;3;1;AM;460.1;539.9;547.1;454.8;560.0;H;B
210058565720;3;2;MG;638.3;612.3;574.6;700.9;820.0;G;J
210059884799;1;1;SP;398.6;458.4;513.1;360.6;340.0;E;D
210061073852;1;1;CE;475.5;456.7;445.5;550.0;720.0;F;D
210059561922;0;1;SE;348.0;349.0;346.1;398.5;280.0;B;B
210058588876;3;2;SP;367.2;451.6;551.2;350.3;360.0;E;D
210058721563;3;1;SE;449.1;462.9;526.1;501.7;920.0;C;B
210059829310;1;1;CE;536.0;646.3;623.8;678.9;820.0;G;B
210058101464;1;2;SP;526.4;557.0;478.0;567.4;460.0;E;D
210060765532;1;1;PE;401.0;421.9;313.7;530.2;620.0;D;A
210058888309;3;1;AL;452.2;533.1;476.3;362.2;580.0;A;B
210060932171;3;1;CE;684.4;789.0;674.1;598.5;940.0;B;N
210061003922;1;1;BA;582.0;522.1;580.9;574.3;920.0;D;B
210061308245;1;3;RJ;593.3;610.5;549.4;654.3;920.0;G;E
210061676434;3;1;SP;432.8;531.4;536.5;490.4;560.0;D;B
210058733541;3;1;MG;402.4;486.2;472.5;424.9;760.0;C;B
210062042622;2;1;RJ;562.1;556.6;570.7;605.8;720.0;G;H
210061230690;1;2;ES;470.5;380.1;408.9;374.7;660.0;D;A
210060708121;1;1;PB;461.6;519.2;514.8;566.8;740.0;C;A
